geography,population,is_zipcode
12871,3997.0,True
12872,0.0,True
12873,820.0,True
12874,154.0,True
12878,768.0,True
12883,4781.0,True
12884,567.0,True
12885,4531.0,True
12886,199.0,True
12887,4629.0,True
12901,32012.0,True
12903,1740.0,True
12910,1994.0,True
12911,44.0,True
12912,1860.0,True
12913,1128.0,True
12914,892.0,True
12915,61.0,True
12916,2250.0,True
12917,1194.0,True
12918,2762.0,True
12919,2789.0,True
12920,2509.0,True
12921,2771.0,True
12922,33.0,True
12923,463.0,True
12924,230.0,True
12926,2493.0,True
12927,308.0,True
12928,1805.0,True
12929,2882.0,True
12930,866.0,True
12932,1183.0,True
12933,7.0,True
12934,1147.0,True
12935,1159.0,True
12936,693.0,True
12937,1340.0,True
12939,162.0,True
12941,1477.0,True
12942,462.0,True
12943,293.0,True
12944,4043.0,True
12945,535.0,True
12946,4805.0,True
12950,701.0,True
12952,226.0,True
12953,12842.0,True
12955,494.0,True
12956,1538.0,True
12957,1721.0,True
12958,1650.0,True
12959,1790.0,True
12960,995.0,True
12961,92.0,True
12962,5131.0,True
12964,46.0,True
12965,281.0,True
12966,2962.0,True
12967,1363.0,True
12969,253.0,True
12970,1022.0,True
12972,7063.0,True
12973,136.0,True
12974,1545.0,True
12975,107.0,True
12976,196.0,True
12977,1186.0,True
12978,243.0,True
12979,2542.0,True
12980,1064.0,True
12981,2233.0,True
12983,7410.0,True
12985,775.0,True
12986,5304.0,True
12987,188.0,True
12989,1012.0,True
12992,4129.0,True
12993,1730.0,True
12996,1937.0,True
12997,1280.0,True
12998,334.0,True
13020,117.0,True
13021,37479.0,True
13024,1209.0,True
13026,1703.0,True
13027,35233.0,True
13028,913.0,True
13029,7594.0,True
13030,3611.0,True
13031,16076.0,True
13032,12964.0,True
13033,3660.0,True
13034,2088.0,True
13035,8191.0,True
13036,9079.0,True
13037,9519.0,True
13039,17184.0,True
13040,2683.0,True
13041,12094.0,True
13042,1884.0,True
13044,2884.0,True
13045,28388.0,True
13051,52.0,True
13052,1762.0,True
13053,4756.0,True
13054,1289.0,True
13057,14476.0,True
13060,2845.0,True
13061,641.0,True
13062,241.0,True
13063,1644.0,True
13065,131.0,True
13066,12680.0,True
13068,4464.0,True
13069,23176.0,True
13071,760.0,True
13072,811.0,True
13073,6246.0,True
13074,4471.0,True
13076,2521.0,True
13077,6567.0,True
13078,10564.0,True
13080,3282.0,True
13081,1094.0,True
13082,4177.0,True
13083,1861.0,True
13084,3764.0,True
13087,252.0,True
13088,21875.0,True
13090,29180.0,True
13092,2707.0,True
13101,2221.0,True
13102,67.0,True
13103,239.0,True
13104,16504.0,True
13108,6144.0,True
13110,2374.0,True
13111,1660.0,True
13112,1827.0,True
13113,41.0,True
13114,7313.0,True
13115,223.0,True
13116,3657.0,True
13117,211.0,True
13118,5514.0,True
13119,0.0,True
13120,1881.0,True
13121,0.0,True
13122,1289.0,True
13123,35.0,True
13124,95.0,True
13126,36199.0,True
13131,2856.0,True
13132,3561.0,True
13134,129.0,True
13135,6229.0,True
13136,377.0,True
13138,209.0,True
13140,4192.0,True
13141,643.0,True
13142,6568.0,True
13143,2405.0,True
13144,1105.0,True
13145,1794.0,True
13146,2050.0,True
13147,1043.0,True
13148,10798.0,True
13152,7548.0,True
13153,510.0,True
13154,38.0,True
13155,654.0,True
13156,2108.0,True
13157,547.0,True
13158,1377.0,True
13159,5297.0,True
13160,2321.0,True
13162,150.0,True
13163,334.0,True
13164,2695.0,True
13165,9429.0,True
13166,5667.0,True
13167,2984.0,True
13202,6842.0,True
13203,17387.0,True
13204,19511.0,True
13205,18562.0,True
13206,16848.0,True
13207,12383.0,True
13208,22549.0,True
13209,12995.0,True
13210,19298.0,True
13211,6155.0,True
13212,20185.0,True
13214,8713.0,True
13215,14599.0,True
13219,15546.0,True
13224,8638.0,True
13244,8816.0,True
13290,0.0,True
13301,113.0,True
13302,1403.0,True
13303,1455.0,True
13304,1841.0,True
13305,421.0,True
13308,4239.0,True
13309,5828.0,True
13310,731.0,True
13312,288.0,True
13313,562.0,True
13314,145.0,True
13315,1239.0,True
13316,5924.0,True
13317,3970.0,True
13318,982.0,True
13319,434.0,True
13320,2027.0,True
13321,815.0,True
13322,1059.0,True
13323,11014.0,True
13324,1714.0,True
13325,882.0,True
13326,4536.0,True
13327,1956.0,True
13328,1302.0,True
13329,3326.0,True
13331,175.0,True
13332,2695.0,True
13333,40.0,True
13334,887.0,True
13335,1388.0,True
13337,690.0,True
13338,1293.0,True
13339,6131.0,True
13340,7322.0,True
13342,263.0,True
13343,1543.0,True
13345,184.0,True
13346,6275.0,True
13348,1529.0,True
13350,9641.0,True
13352,21.0,True
13353,54.0,True
13354,3124.0,True
13355,883.0,True
13357,10073.0,True
13360,193.0,True
13361,666.0,True
13363,2290.0,True
13364,359.0,True
13365,8545.0,True
13367,8786.0,True
13368,1025.0,True
13402,1295.0,True
13403,7133.0,True
13404,162.0,True
13406,491.0,True
13407,5125.0,True
13408,3422.0,True
13409,2123.0,True
13410,575.0,True
13411,2920.0,True
13413,16940.0,True
13415,92.0,True
13416,2120.0,True
13417,3012.0,True
13418,186.0,True
13420,890.0,True
13421,12742.0,True
13424,2285.0,True
13425,1743.0,True
13428,1470.0,True
13431,1929.0,True
13433,1708.0,True
13435,337.0,True
13436,107.0,True
13437,254.0,True
13438,3310.0,True
13439,3667.0,True
13440,41273.0,True
13441,145.0,True
13450,251.0,True
13452,4850.0,True
13454,754.0,True
13455,71.0,True
13456,4103.0,True
13457,38.0,True
13459,2034.0,True
13460,4286.0,True
13461,3046.0,True
13464,1154.0,True
13468,305.0,True
13469,1107.0,True
13470,771.0,True
13471,2692.0,True
13472,277.0,True
13473,1060.0,True
13475,49.0,True
13476,2540.0,True
13477,1468.0,True
13478,3331.0,True
13480,3454.0,True
13482,73.0,True
13483,405.0,True
13484,103.0,True
13485,1715.0,True
13486,691.0,True
13488,130.0,True
13489,508.0,True
13490,1346.0,True
13491,3570.0,True
13492,11233.0,True
13493,2355.0,True
13494,312.0,True
13495,1889.0,True
13501,40235.0,True
13502,33241.0,True
13601,37409.0,True
13602,2700.0,True
13603,13973.0,True
13605,5106.0,True
13606,2397.0,True
13607,2061.0,True
13608,1845.0,True
13611,265.0,True
13612,2940.0,True
13613,2733.0,True
13614,287.0,True
13615,538.0,True
13616,1560.0,True
13617,12294.0,True
13618,1696.0,True
13619,10774.0,True
13620,2150.0,True
13621,683.0,True
13622,2100.0,True
13623,76.0,True
13624,4438.0,True
13625,1689.0,True
13626,2322.0,True
13628,185.0,True
13630,1307.0,True
13632,128.0,True
13633,378.0,True
13634,3866.0,True
13635,1283.0,True
13636,184.0,True
13637,5280.0,True
13638,172.0,True
13639,23.0,True
13640,305.0,True
13641,69.0,True
13642,9018.0,True
13643,20.0,True
13645,0.0,True
13646,2373.0,True
13647,159.0,True
13648,2236.0,True
13649,58.0,True
13650,1268.0,True
13651,127.0,True
13652,1876.0,True
13654,2370.0,True
13655,3705.0,True
13656,2945.0,True
13658,2028.0,True
13659,371.0,True
13660,1953.0,True
13661,2043.0,True
13662,15737.0,True
13664,401.0,True
13665,686.0,True
13666,236.0,True
13667,3460.0,True
13668,3313.0,True
13669,15615.0,True
13670,382.0,True
13672,408.0,True
13673,1983.0,True
13674,154.0,True
13675,51.0,True
13676,13408.0,True
13678,19.0,True
13679,1169.0,True
13680,1417.0,True
13681,941.0,True
13682,795.0,True
13683,58.0,True
13684,1105.0,True
13685,2234.0,True
13687,421.0,True
13690,651.0,True
13691,3172.0,True
13692,216.0,True
13693,315.0,True
13694,1232.0,True
13695,169.0,True
13696,188.0,True
13697,1951.0,True
13699,2123.0,True
13730,2763.0,True
13731,1102.0,True
13732,7438.0,True
13733,5265.0,True
13734,2243.0,True
13736,1887.0,True
13738,22.0,True
13739,792.0,True
13740,607.0,True
13743,2893.0,True
13744,1284.0,True
13746,2432.0,True
13747,0.0,True
13748,3722.0,True
13750,588.0,True
13751,334.0,True
13752,913.0,True
13753,5629.0,True
13754,2793.0,True
13755,737.0,True
13756,665.0,True
13757,1121.0,True
13760,42880.0,True
13774,230.0,True
13775,1839.0,True
13776,395.0,True
13777,445.0,True
13778,5139.0,True
13780,842.0,True
13782,797.0,True
13783,2200.0,True
13784,383.0,True
13786,440.0,True
13787,3120.0,True
13788,950.0,True
13790,18560.0,True
13795,3180.0,True
13796,915.0,True
13797,2105.0,True
13801,1533.0,True
13802,1206.0,True
13803,3936.0,True
13804,266.0,True
13806,168.0,True
13807,1260.0,True
13808,1486.0,True
13809,1688.0,True
13810,1195.0,True
13811,4102.0,True
13812,2313.0,True
13813,1148.0,True
13814,28.0,True
13815,12855.0,True
13820,22954.0,True
13825,2785.0,True
13826,68.0,True
13827,11713.0,True
13830,4826.0,True
13832,513.0,True
13833,4176.0,True
13834,108.0,True
13835,1182.0,True
13838,4185.0,True
13839,1362.0,True
13841,394.0,True
13842,607.0,True
13843,2014.0,True
13844,543.0,True
13846,259.0,True
13847,15.0,True
13849,4351.0,True
13850,23675.0,True
13856,5915.0,True
13859,119.0,True
13860,266.0,True
13861,450.0,True
13862,3667.0,True
13863,430.0,True
13864,1421.0,True
13865,5823.0,True
13901,19730.0,True
13902,6921.0,True
13903,17528.0,True
13904,9138.0,True
13905,28370.0,True
14001,9122.0,True
14004,11312.0,True
14005,1788.0,True
14006,9354.0,True
14008,1484.0,True
14009,5787.0,True
