store_name,square_footage,operation_type,georeference,Zip_Code_Clean
TRIBECA OLIVE BRANCH DELI,,Store,POINT (-74.00976381 40.715645743),10007
FRESH FARM SUPERMARKET,,Store,POINT (-73.863076565 40.749346777),11368
34-61 DELI,,Store,POINT (-73.87166986 40.753476541),11372
280 SUPER STOP,,Store,POINT (-73.931296959 40.668417784),11213
SUYDAM BEER & MARKET,,Store,POINT (-73.919312681 40.70629946),11237
NY DELI & GRILL,1200.0,Store,POINT (-74.134029296 40.632622321),10302
NAJIM GOURMET DELI,,Store,POINT (-73.871468191 40.842322619),10460
101 MINI MARKET,2000.0,Store,POINT (-73.947360792 40.788218691),10029
MORRIS MINI MARKET,1200.0,Store,POINT (-73.922499648 40.81759634),10451
NEW 382 FARMERS,3500.0,Store,POINT (-73.995519771 40.749094524),10001
SAM 4 DELI GROCERY,1000.0,Store,POINT (-73.904190135 40.852217456),10453
TASTY CHOICE DELI & GROCERY,,Store,POINT (-73.735668032 40.718527777),11428
LA MILPA DELI & GROCERY,900.0,Store,POINT (-74.135902568 40.624878155),10302
SKANDERBEG ALBANIAN MARKET,600.0,Store,POINT (-73.829378213 40.852206475),10461
CENTRAL CAFE & DELI,1500.0,Store,POINT (-73.982881873 40.761048543),10019
9402 DELI AND GRILL,800.0,Store,POINT (-73.861728419 40.684285187),11416
600 DELI,750.0,Store,POINT (-73.994649478 40.760463025),10036
OUR DREAM DELI GROCERY,900.0,Store,POINT (-73.857163132 40.751047717),11368
SYLVIAS SWEETS,800.0,Store,POINT (-73.969796968 40.609023115),11223
PAVAN DELI & CONVENIENCE,2200.0,Store,POINT (-73.859068255 40.758055491),11368
YAHYA CONVENIENCE,1500.0,Store,POINT (-73.757524348 40.718175066),11427
ONE BEST DELI & MORE,1000.0,Store,POINT (-73.820271023 40.824913867),10465
KPODA CT SERVICES,600.0,Store,POINT (-73.910009418 40.834381942),10456
CAFE,,Store,POINT (-73.987553527 40.772145638),10023
SPITFIRE CHEESE & SUNDRY,1700.0,Store,POINT (-73.984079144 40.765400804),10019
121 GOURMET DELI,1000.0,Store,POINT (-74.000375827 40.730661629),10012
OMW THE HIGH STATION DELI,,Store,POINT (-74.084328215 40.615621181),10304
NUNEZ GROCERY AND DELI,800.0,Store,POINT (-73.821270901 40.680681179),11420
PLACITA 88,1700.0,Store,POINT (-73.878340765 40.748094521),11372
WHEELER DELI GROCERY,1000.0,Store,POINT (-73.880316212 40.828844561),10472
356 EXPRESS SULLIVAN FOOD,,Store,POINT (-73.954067656 40.664618309),11225
GREEN FOOD MART,500.0,Store,POINT (-73.797957978 40.706331521),11432
ON THE GO GROCERIES,3000.0,Store,POINT (-74.081068744 40.598464599),10305
STEVE DELI FOOD,1200.0,Store,POINT (-73.937592774 40.829074057),10039
116 CONVENIENCE,,Store,POINT (-73.991820502 40.718240864),10002
PATRON DELI,,Store,POINT (-73.846448126 40.774762426),11354
U FARMER DELI,1500.0,Store,POINT (-73.924279629 40.608363962),11234
F & N BRUKELEN DELI,1500.0,Store,POINT (-73.897410265 40.648512063),11236
AMERICAN EXPRESS DELI,,Store,POINT (-73.955487047 40.736685912),11222
